time	V(p001)
	2.450079e+002	4.670282e+001
	2.450088e+002	4.670288e+001
	2.450096e+002	4.670294e+001
	2.450105e+002	4.670299e+001
	2.450113e+002	4.670305e+001
	2.450122e+002	4.670310e+001
	2.450130e+002	4.670315e+001
	2.450139e+002	4.670321e+001
	2.452189e+002	4.671653e+001
	2.457795e+002	4.675293e+001
	2.457926e+002	4.675378e+001
	2.465245e+002	4.680128e+001
	2.471586e+002	4.684240e+001
	2.474123e+002	4.685885e+001
	2.474139e+002	4.685895e+001
	2.474158e+002	4.685907e+001
	2.476929e+002	4.687704e+001
	2.477542e+002	4.688100e+001
	2.477573e+002	4.688121e+001
	2.477589e+002	4.688131e+001
	2.477595e+002	4.688135e+001
	2.477633e+002	4.688159e+001
	2.497942e+002	4.701305e+001
	2.504117e+002	4.705297e+001
	2.509220e+002	4.708594e+001
	2.510911e+002	4.709686e+001
	2.510918e+002	4.709691e+001
	2.510922e+002	4.709693e+001
	2.510928e+002	4.709697e+001
	2.510940e+002	4.709705e+001
	2.519065e+002	4.714951e+001
	2.529278e+002	4.721537e+001
	2.530703e+002	4.722456e+001
	2.530722e+002	4.722468e+001
	2.530797e+002	4.722516e+001
	2.540034e+002	4.728468e+001
	2.540065e+002	4.728488e+001
	2.540078e+002	4.728496e+001
	2.540109e+002	4.728516e+001
	2.540114e+002	4.728519e+001
	2.540133e+002	4.728531e+001
	2.540608e+002	4.728837e+001
	2.544670e+002	4.731453e+001
	2.547458e+002	4.733246e+001
	2.554608e+002	4.737846e+001
	2.558170e+002	4.740136e+001
	2.558186e+002	4.740146e+001
	2.558204e+002	4.740158e+001
	2.558214e+002	4.740165e+001
	2.558251e+002	4.740189e+001
	2.568089e+002	4.746509e+001
	2.575720e+002	4.751408e+001
	2.581533e+002	4.755137e+001
	2.581795e+002	4.755305e+001
	2.581798e+002	4.755307e+001
	2.581801e+002	4.755309e+001
	2.581804e+002	4.755311e+001
	2.581810e+002	4.755315e+001
	2.581822e+002	4.755323e+001
	2.582197e+002	4.755564e+001
	2.583135e+002	4.756165e+001
	2.583366e+002	4.756313e+001
	2.587704e+002	4.759094e+001
	2.589204e+002	4.760055e+001
	2.596635e+002	4.764816e+001
	2.596657e+002	4.764830e+001
	2.596694e+002	4.764854e+001
	2.601294e+002	4.767799e+001
	2.606269e+002	4.770983e+001
	2.607344e+002	4.771671e+001
	2.612519e+002	4.774981e+001
	2.613607e+002	4.775676e+001
	2.620394e+002	4.780014e+001
	2.622191e+002	4.781162e+001
	2.624504e+002	4.782639e+001
	2.629204e+002	4.785640e+001
	2.630291e+002	4.786334e+001
	2.631079e+002	4.786837e+001
	2.631094e+002	4.786847e+001
	2.631113e+002	4.786859e+001
	2.634363e+002	4.788933e+001
	2.634379e+002	4.788943e+001
	2.634397e+002	4.788955e+001
	2.644922e+002	4.795667e+001
	2.650935e+002	4.799498e+001
	2.655485e+002	4.802395e+001
	2.659285e+002	4.804815e+001
	2.661444e+002	4.806189e+001
	2.664532e+002	4.808153e+001
	2.669344e+002	4.811214e+001
	2.680107e+002	4.818053e+001
	2.684969e+002	4.821141e+001
	2.685107e+002	4.821229e+001
	2.685344e+002	4.821379e+001
	2.686944e+002	4.822395e+001
	2.686960e+002	4.822405e+001
	2.686962e+002	4.822407e+001
	2.686965e+002	4.822409e+001
	2.686984e+002	4.822421e+001
	2.687028e+002	4.822448e+001
	2.687215e+002	4.822567e+001
	2.693465e+002	4.826533e+001
